code,name,market,ticker,as_of,beta60,alpha60,er60,beta120,alpha120,er120,beta240,alpha240,er240
1101,臺灣水泥股份有限公司,TWSE,1101.TW,2026-08-26,0.2101,0.0882,0.0449,0.3169,-0.2087,0.2591,0.3234,-0.1011,0.2448
1102,亞洲水泥股份有限公司,TWSE,1102.TW,2026-08-26,0.0418,0.4745,0.0209,0.0365,0.1817,0.0431,0.0629,-0.0107,0.0597
1103,嘉新水泥股份有限公司,TWSE,1103.TW,2026-08-26,0.1211,0.1565,0.0322,0.1814,-0.0793,0.1547,0.1778,-0.0847,0.1413
1104,環球水泥股份有限公司,TWSE,1104.TW,2026-08-26,0.0305,0.1139,0.0193,0.0841,-0.069,0.0798,0.1649,-0.1329,0.1322
1108,幸福水泥股份有限公司,TWSE,1108.TW,2026-08-26,0.2351,-0.3645,0.0484,0.1825,-0.4718,0.1556,0.1639,-0.303,0.1315
1109,信大水泥股份有限公司,TWSE,1109.TW,2026-08-26,0.0613,-0.0044,0.0237,0.081,-0.1633,0.0774,0.0841,-0.1295,0.0748
1110,東南水泥股份有限公司,TWSE,1110.TW,2026-08-26,0.3149,0.4572,0.0597,0.2787,-0.0712,0.2297,0.2923,-0.2383,0.2227
1201,味全食品工業股份有限公司,TWSE,1201.TW,2026-08-26,0.0429,0.0574,0.0211,0.0397,-0.2952,0.0456,0.04,-0.2609,0.0434
1203,味王股份有限公司,TWSE,1203.TW,2026-08-26,-0.0327,0.3427,0.0104,0.0455,0.3318,0.0501,0.0769,0.1767,0.0696
1210,大成長城企業股份有限公司,TWSE,1210.TW,2026-08-26,-0.0153,0.2683,0.0128,-0.0528,0.2651,-0.0257,-0.0145,0.0686,0.0047
1213,大西洋飲料股份有限公司,TWSE,1213.TW,2026-08-26,0.2107,-0.6688,0.0449,0.2006,-0.6806,0.1695,0.1476,-0.6367,0.1199
1215,台灣卜蜂企業股份有限公司,TWSE,1215.TW,2026-08-26,-0.0698,-0.4155,0.0051,0.0332,-0.6509,0.0406,0.0347,-0.1504,0.0397
1216,統一企業股份有限公司,TWSE,1216.TW,2026-08-26,-0.1634,0.4289,-0.0082,-0.0817,0.3358,-0.0479,-0.0531,0.0944,-0.0227
1217,愛之味股份有限公司,TWSE,1217.TW,2026-08-26,0.095,0.0622,0.0285,0.0903,-0.0571,0.0846,0.101,-0.1427,0.0868
1218,泰山企業股份有限公司,TWSE,1218.TW,2026-08-26,0.0336,-0.8341,0.0198,0.061,-0.2932,0.062,0.0769,-0.2243,0.0696
1219,福壽實業股份有限公司,TWSE,1219.TW,2026-08-26,0.0577,-0.0897,0.0232,-0.0208,-0.1282,-0.001,-0.0119,-0.0755,0.0065
1220,台榮產業股份有限公司,TWSE,1220.TW,2026-08-26,0.0434,-0.2238,0.0212,0.0175,-0.3223,0.0285,0.0676,-0.2156,0.063
1225,福懋油脂股份有限公司,TWSE,1225.TW,2026-08-26,0.0214,-0.497,0.018,-0.0275,-0.366,-0.0062,0.0344,-0.1037,0.0394
1227,佳格食品股份有限公司,TWSE,1227.TW,2026-08-26,-0.0045,0.3161,0.0144,-0.0008,0.0871,0.0144,0.0449,-0.0174,0.0469
1229,聯華實業控股股份有限公司,TWSE,1229.TW,2026-08-26,0.2309,0.4258,0.0478,0.1778,-0.0615,0.152,0.1517,-0.2019,0.1228
1231,聯華食品工業股份有限公司,TWSE,1231.TW,2026-08-26,0.0846,0.2438,0.027,0.1055,0.1387,0.0963,0.0914,-0.4716,0.0799
1232,大統益股份有限公司,TWSE,1232.TW,2026-08-26,-0.1063,0.5361,-0.0001,-0.0466,0.255,-0.0209,-0.0137,0.135,0.0053
1233,天仁茶業股份有限公司,TWSE,1233.TW,2026-08-26,0.0182,0.1406,0.0176,0.1169,-0.3622,0.1051,0.1132,-0.1444,0.0954
